id_estacion,nombre_calle,lat,lon,altitud,direccion,cruce_calles,codigo_postal,index_right,codigo_distrito,nombre_distrito
565,"C/ FRA JUNÍPER SERRA, 53 | C/ SANTANDER",41.4321492376238,2.20548960446323,,"C/ FRA JUNÍPER SERRA, 53 | C/ SANTANDER",09-SantAndreu/59-el Bon Pastor,8020.0,9,09,Sant Andreu
566,"C/ CRISTÓBAL DE MOURA, 163 (xamfrà)",41.4135108,2.2093559,9.98,"C/ CRISTÓBAL DE MOURA, 163 (xamfrà)",10-SantMartí/71-Provençals del Poblenou,8019.0,10,10,Sant Martí
567,"C/ RAMON TURRÓ, 182 (xamfrà)",41.39816,2.20085,3.66,"C/ RAMON TURRÓ, 182 (xamfrà)",10-SantMartí/68-el Poblenou,8005.0,10,10,Sant Martí
568,"C/ ROMÁN MACAYA, 8",41.4134658326881,2.13520478647346,154.72,"C/ ROMÁN MACAYA, 8",05-Sarrià-StGervasi/25-Sant Gervasi - la Bonanova,8022.0,5,05,Sarrià-Sant Gervasi
569,"C/ QUATRE CAMINS, 46",41.410472,2.131204,151.0,"C/ QUATRE CAMINS, 46",05-Sarrià-StGervasi/25-Sant Gervasi - la Bonanova,8022.0,5,05,Sarrià-Sant Gervasi
572,"AV. CAN MARCET, 3",41.4341809929127,2.15187841563274,115.0,"AV. CAN MARCET, 3",07-Horta-Guinardó/41-la Vall d'Hebron,8035.0,7,07,Horta-Guinardó
573," AV. MARTÍ CODOLAR, 2 | COLL I ALENTORN",41.4249916795074,2.14819656044664,122.88," AV. MARTÍ CODOLAR, 2 | COLL I ALENTORN",07-Horta-Guinardó/41-la Vall d'Hebron,8035.0,7,07,Horta-Guinardó
577,"PTGE. CALAFELL, 3",41.4237747,2.1546161,129.15,"PTGE. CALAFELL, 3",07-Horta-Guinardó/37-el Carmel,8032.0,7,07,Horta-Guinardó
581,"AV. JORDÀ, 18",41.426778,2.138417,184.0,"AV. JORDÀ, 18",07-Horta-Guinardó/39-Sant Genís dels Agudells,8035.0,7,07,Horta-Guinardó
582,"C/ JUDEA, 1",41.4250608907384,2.14117169130441,164.88,"C/ JUDEA, 1",07-Horta-Guinardó/39-Sant Genís dels Agudells,8035.0,7,07,Horta-Guinardó
595,"C/ BRUC, 88",41.394576,2.169295,,"C/ BRUC, 88",02-Eixample/07-la Dreta de l'Eixample,8009.0,2,02,Eixample
596,"C/ DIPUTACIÓ, 303",41.392639960504,2.1696469558197,,"C/ DIPUTACIÓ, 303",02-Eixample/07-la Dreta de l'Eixample,8009.0,2,02,Eixample
597,"C/ PROVENÇA, 310",41.3959653,2.1635462,0.0,"C/ PROVENÇA, 310",,,2,02,Eixample
598,"C/ BRUC, 103 (xamfrà)",41.395821,2.16728,31.0,"C/ BRUC, 103 (xamfrà)",02-Eixample/07-la Dreta de l'Eixample,8009.0,2,02,Eixample
599,"C/ VALÈNCIA, 312 (xamfrà)",41.3950976,2.1666929,31.79,"C/ VALÈNCIA, 312 (xamfrà)",02-Eixample/07-la Dreta de l'Eixample,8009.0,2,02,Eixample
600,"C/ VALÈNCIA, 237",41.39187,2.16202,32.0,"C/ VALÈNCIA, 237",02-Eixample/07-la Dreta de l'Eixample,8007.0,2,02,Eixample
602,"C/ ROSSELLÓ, 497 (xamfrà)",41.4081139,2.176757,37.11,"C/ ROSSELLÓ, 497 (xamfrà)",02-Eixample/06-la Sagrada Família,,2,02,Eixample
603,"C/ CÒRSEGA, 612 (xamfrà)",41.4093189006091,2.17657691610016,40.65,"C/ CÒRSEGA, 612 (xamfrà)",02-Eixample/06-la Sagrada Família,8025.0,2,02,Eixample
604,"C/ CÒRSEGA, 578",41.4079467,2.1748603,,"C/ CÒRSEGA, 578",02-Eixample/06-la Sagrada Família,,2,02,Eixample
608,"C/ PAMPLONA, 116 (xamfrà)",41.3990872310746,2.18839414292221,4.4,"C/ PAMPLONA, 116 (xamfrà)",10-SantMartí/66-el Parc i la Llacuna del Poblenou,8018.0,10,10,Sant Martí
609,"C/ ÀVILA, 94",41.3984589,2.1937281,4.76,"C/ ÀVILA, 94",10-SantMartí/66-el Parc i la Llacuna del Poblenou,8018.0,10,10,Sant Martí
610,"C/ ÀVILA, 102",41.3990190831577,2.1928972716948,4.64,"C/ ÀVILA, 102",10-SantMartí/66-el Parc i la Llacuna del Poblenou,8018.0,10,10,Sant Martí
