id_estacio,nom_districte,lat,lon,slots_mesurats,capacitat_mitja,pct_buida,pct_plena,pct_problema
231,Gràcia,41.4092005,2.16400285,49598,22.2,24.87,2.57,27.44
338,Sarrià-Sant Gervasi,41.3977227,2.1194557,64158,35.2,27.41,0.02,27.43
455,Sant Martí,41.4105848,2.1826833,63706,18.9,18.14,9.25,27.43
122,Gràcia,41.4054458,2.1663172,63832,26.2,26.09,1.28,27.37
383,Sants-Montjuïc,41.381219,2.141767,63957,22.5,24.22,2.96,27.18
198,Les Corts,41.3847113,2.1334379,64085,25.3,27.04,0.04,27.07
230,Gràcia,41.4059356,2.1517977,64134,23.6,25.25,1.68,26.95
474,Nou Barris,41.4418604,2.1664224,63918,23.3,26.74,0.0,26.75
75,Eixample,41.385004,2.1429115,63922,19.6,25.99,0.48,26.74
310,Les Corts,41.3812111,2.1190863,64096,26.0,24.63,2.1,26.73
125,Ciutat Vella,41.3834753,2.194735,63895,20.3,17.16,9.37,26.68
204,Les Corts,41.3880355,2.1256248,63993,31.8,25.19,1.46,26.66
496,Eixample,41.4048623,2.174799,63071,15.2,20.93,5.59,26.54
60,Eixample,41.3902625,2.164035,63761,25.1,20.0,6.35,26.38
323,Sarrià-Sant Gervasi,41.3981616,2.1386719,64154,25.8,26.22,0.11,26.34
121,Eixample,41.4064529,2.1785364,64171,18.3,19.3,7.03,26.34
22,Eixample,41.4016969,2.175767,64140,16.6,19.85,6.42,26.28
286,Sant Martí,41.4030225,2.1913538,63924,15.4,12.44,13.8,26.25
208,Sarrià-Sant Gervasi,41.3915195,2.1390667,64131,30.9,25.51,0.36,25.88
26,Sant Martí,41.4071692,2.1820722,64118,15.8,15.46,10.39,25.86
67,Eixample,41.3852864,2.1454802,64093,22.2,25.24,0.58,25.83
98,Sants-Montjuïc,41.380595,2.1407,63659,19.1,20.12,5.44,25.75
566,Sant Martí,41.4135108,2.2093559,3324,16.0,0.78,24.91,25.69
318,Horta-Guinardó,41.412427,2.170592,63913,29.6,25.38,0.25,25.63
110,Eixample,41.3852585,2.155089,63483,19.0,24.04,1.52,25.56
277,Horta-Guinardó,41.4082107,2.1689962,64141,24.5,22.73,2.65,25.4
319,Sarrià-Sant Gervasi,41.3937414,2.1455022,64015,27.8,24.87,0.4,25.28
200,Les Corts,41.3839045,2.1312876,63688,22.5,25.02,0.24,25.27
212,Les Corts,41.3922355,2.1309272,63711,22.2,23.18,1.21,24.58
491,Horta-Guinardó,41.4306689,2.1456449,63825,26.3,24.05,0.04,24.09
304,Sarrià-Sant Gervasi,41.39038,2.121,64135,24.7,22.37,1.65,24.05
73,Eixample,41.392135,2.1563542,64043,23.9,20.87,3.09,23.98
276,Horta-Guinardó,41.4121345,2.1652216,62967,25.2,22.93,0.9,23.84
100,Sants-Montjuïc,41.379363,2.143868,64108,20.1,21.23,2.43,23.66
499,Gràcia,41.4160558,2.1421504,64149,26.0,23.58,0.02,23.6
367,Les Corts,41.384972,2.1376205,64115,29.7,23.11,0.34,23.5
97,Sants-Montjuïc,41.3779613,2.1450491,64151,19.6,22.9,0.56,23.46
374,Eixample,41.3949729,2.1612814,63726,31.0,20.75,2.62,23.37
278,Horta-Guinardó,41.4098842,2.1715285,64146,24.8,20.6,2.72,23.32
213,Sarrià-Sant Gervasi,41.3935816,2.1345892,64154,31.8,23.23,0.09,23.32
202,Les Corts,41.3854466,2.1288753,64133,25.5,23.26,0.05,23.31
484,Horta-Guinardó,41.4345997,2.1585268,63309,26.2,23.26,0.0,23.26
454,Horta-Guinardó,41.4072349,2.1684799,64141,24.9,22.1,0.97,23.19
50,Ciutat Vella,41.3751145,2.1709386,63835,15.9,7.43,15.66,23.1
72,Eixample,41.3927771,2.1586273,63925,24.7,19.92,3.16,23.08
120,Eixample,41.4047056,2.1765126,64148,19.3,20.92,2.12,23.07
197,Les Corts,41.3871579,2.1410945,64112,25.4,22.78,0.17,22.95
89,Eixample,41.3871904,2.149131,64137,24.1,22.47,0.35,22.82
302,Les Corts,41.3906352,2.111541,64144,31.5,20.44,2.31,22.75
194,Les Corts,41.3812001,2.1323612,63743,22.6,22.04,0.58,22.62
57,Ciutat Vella,41.376326,2.176971,63639,21.9,0.66,21.83,22.6
124,Ciutat Vella,41.3702483,2.1878126,63937,28.1,12.25,10.24,22.52
196,Sants-Montjuïc,41.3832609,2.1392662,64025,25.6,22.18,0.19,22.37
292,Nou Barris,41.4300161,2.1720191,64168,11.1,20.6,1.76,22.35
481,Horta-Guinardó,41.4357978,2.163872,64136,26.6,22.21,0.0,22.21
281,Horta-Guinardó,41.4180789,2.1763994,64141,22.6,20.15,1.94,22.09
293,Horta-Guinardó,41.4283127,2.1629889,63971,23.3,21.85,0.05,21.91
485,Horta-Guinardó,41.4374904,2.1565742,64123,26.0,21.85,0.03,21.88
78,Eixample,41.3856474,2.1634306,63432,25.4,19.03,2.78,21.82
471,Nou Barris,41.4389014,2.1715576,64125,23.7,21.79,0.0,21.79
379,Sants-Montjuïc,41.3829333,2.1420704,64025,19.4,21.13,0.52,21.76
36,Ciutat Vella,41.3850616,2.1766834,63873,19.4,1.39,20.33,21.73
405,Eixample,41.3854003,2.1521802,64149,24.3,21.26,0.33,21.64
205,Les Corts,41.3879413310938,2.13059591593856,63900,32.0,21.57,0.04,21.63
29,Eixample,41.401061,2.169941,64167,19.8,19.17,2.45,21.62
473,Nou Barris,41.4388644,2.1657506,64096,26.3,21.58,0.0,21.58
472,Nou Barris,41.4427374,2.170393,63952,23.4,21.56,0.01,21.58
282,Horta-Guinardó,41.4275514,2.1659881,64144,25.9,21.33,0.05,21.5
111,Eixample,41.3847528,2.1546746,64120,18.7,18.03,3.41,21.48
225,Eixample,41.3848102114671,2.15080712464522,64092,22.8,20.45,0.98,21.44
439,Sants-Montjuïc,41.3685394,2.1328403,64146,16.7,4.83,16.57,21.41
